Law Firm	CLSIP Participating Cities - will be updated as new employers register. Updated as of 11/25	# of CLSIP Schedules 1 schedule = 22 interview slots .5 schedule = 11 interview slots	CLSIP Interview Date	Class Years Hiring at CLSIP	Lottery allows interviews on multiple schedules at CLSIP	CLSIP Position Description	Career Webpage and/or Direct Application Information	Firm profiles on Vault, Flo Forward, etc.	Firm Size (lawyers)	Total firmwide 2L 2026 summer associates	Number of 2L 2026 summer associates in each office location	Locations Hiring 1Ls for 2026 Summer Program	Locations Hiring 2Ls for 2027 Summer Program (May include offices not participating in CLSIP)	Summer Program Length  (in weeks)	Summer Program Assignment System  (e.g. free market, rotation, hired into practice group)	Return Offers After the 2L Summer (e.g. offer to join a practice group, general offer to return to the firm, with practice group assigned at a later date, rotation) 	Allows split summer w/ govt./public interest orgs.	Offers visa sponsorship	Weekly Summer Associate Salary	Contact/email which students may reach out to if they have any questions about their application/summer program	What makes this firm unique
Jones Day	Atlanta, GA, Boston, MA, Cleveland, OH, Columbus, OH, Dallas, TX, Houston, TX, Irvine, CA, Los Angeles, CA, New York, NY, Pittsburgh, PA, San Diego, CA, San Francisco, CA, Silicon Valley, CA, Washington, DC	Atlanta, Boston, Cleveland, Columbus, Dallas, Houston, Pittsburgh, DC - 1 Irvine, LA, SF, San Diego, Silicon Valley - 1 NY - 2	1/9	1L - Summer 2026 2L - Summer 2027	No	Hiring for 1L Summer 2026 and 2L Summer 2027.  We seek well-rounded, motivated students with the potential to develop into exceptional lawyers and who will embrace Jones Day's culture and mission. To this end, we look for a record of academic excellence, demonstrated leadership, superior written and analytical abilities, strong interpersonal skills, and interest in our Firm. Law Review/Journal or Moot Court preferred. We also prefer a B+ or higher average. Students should interview with Jones Day one time only - either during OCI or at one job fair or interview program. Additionally, if a student is interested in more than one Jones Day office, they should interview with one office and express their interest in other locations during the interview. Please be advised that your law school has asked employers of law students to provide certain information about the outcome of interviews and employment. Jones Day intends to honor this request. If you need additional information, please contact your career services office.	https://www.jonesday.com/en/careers	Vault: https://vault.com/company-profiles/law/jones-day 	2500	140	Atlanta: 14, Boston: 4, Chicago: 13, Cleveland: 14 Columbus: 6, Dallas: 6, DC: 18, Detroit: 4, Houston: 5, Irvine: 4, Los Angeles: 8, Miami: 3, Minneapolis: 3, New York: 24, Pittsburgh: 5, San Diego: 4, San Francisco: 7, Silicon Valley: 2	Atlanta, Boston, Chicago, Cleveland, Columbus, Dallas, DC, Detroit, Houston, Irvine, Los Angeles, Miami, Minneapolis, New York, Pittsburgh, San Diego, San Francisco, Silicon Valley	Atlanta, Boston, Chicago, Cleveland, Columbus, Dallas, DC, Detroit, Houston, Irvine, Los Angeles, Miami, Minneapolis, New York, Pittsburgh, San Diego, San Francisco, Silicon Valley	10	Work Assignment Coordinators assign projects based on summer associates’ indicated practice area interests.	Other	No	Case-by-case basis	$9375 semi-monthly	Name: Danielle Holland, Email: danielleholland@jonesday.com	Jones Day is a global firm with 2,500 lawyers in 40 locations worldwide. Our one Firm Worldwide structure allows us to work with each other seamlessly across the globe to deliver exceptional, coordinated, and efficient legal services to our clients. Clients do not “belong” to individual partners, or particular offices or practices. Rather, every client is a client of the Firm, and we draw on the legal resources best suited to address the client’s problems, wherever they are located in the Firm. Our structure fosters a culture of teamwork and discourages competition among offices and lawyers. You will work on teams that span multiple offices and practices, giving you the opportunity to be part of a fully integrated, global law firm with remarkable stability. Many years ago, Jones Day created the New Lawyers Group, which allows new associates up to a year to gain exposure to different practice areas and lawyering styles at the Firm before making a commitment to a specific practice. We recognize  that many law students leave school not knowing which practice they want to enter. We also believe that a more well-rounded lawyer is a better lawyer and that a wide range of experience is valuable to a new lawyer.
Katten Muchin Rosenman	New York, NY	1	1/8	1L - Summer 2026 2L - Summer 2027	N/A	Hiring for 1L Summer 2026 and 2L Summer 2027. Katten’s New York office is seeking 2L law students for Summer 2027, graduating in 2028. Ideal candidates demonstrate strong academic performance, excellent writing and analytical skills, relevant work experience, and active involvement in law school organizations. The 10 week program is compensated based on an annualized salary of $225,000.	https://katten.com/careers	Flo Forward: https://florecruit.com/v2/app/forward/firms/katten 	700	27	Charlotte: 2, Chicago: 10, Dallas: 4, DC: 1, Los Angeles 2, New York 8	TBD	Charlotte, Chicago, Dallas, DC, Los Angeles, New York	10	Free Market	Directly into a practice group	No	Yes	$4,326.92	Name: Emily Law, Email: emily.law@katten.com Name: Kat Polanco, Email: katherine.polanco@katten.com	Katten is a full-service law firm with nearly 700 attorneys across the U.S., London, and Shanghai, known for its strengths in corporate, financial services, litigation, real estate, commercial finance, intellectual property, and trusts and estates. We serve a broad client base, including a third of the Fortune 100. Our summer program offers law students hands-on experience, mentorship, and training in a collegial and entrepreneurial environment, providing an inside look at our diverse practices and strong commitment to diversity.
Kelley Drye & Warren LLP	New York, NY	1	1/7	2L - Summer 2027	N/A	Kelley Drye & Warren’s New York office is looking for incoming second year law students to join our 2027 summer program. Kelley Drye’s New York summer program is hands-on, fast-paced and designed to help you gain valuable legal experience while exploring your various practice area interests. Summer associates are staffed on individual matters through our Recruiting Department, which allows you to take on assignments in a variety of practice areas over the course of the summer. You will also have the chance to join our attorneys in formal training programs presented by both Kelley Drye lawyers and industry experts, covering topics such as legal writing, negotiations, case management, and business development. We strive to ensure our summer associates are able to make lasting connections over the course of the summer program, both inside and outside the office. We plan fun and unique social events to give our summer associates ample opportunity to explore New York City and get to know the people who make Kelley Drye such a distinctive place to practice law.	https://www.kelleydrye.com/careers	Vault: https://vault.com/company-profiles/law/kelley-drye-warren-llp 	300+	11	DC 1, Houston: 1, Madison: 1, New York: 11	DC, Houston, New Jersey, New York	New York, TBD	9	Free Market; we base assignments off of the summer associates' practice area interest and firm demand.	First year associates remained unassigned throughout the duration of their first year	No	Yes	$4,135	Name: Annie Texido, Email: atexido@kelleydrye.com	Kelley Drye & Warren LLP is an international law firm founded in 1836, with approximately 300 lawyers practicing in New York, NY; WaDC, D.C.; Chicago, IL; Houston, TX; Los Angeles, CA; San Diego, CA; Madison, NJ; and Stamford, CT. We concentrate on litigation, trials, and government investigations; regulatory; trade; real estate; corporate; and bankruptcy matters, combining talent and experience to address the complexities of our clients’ legal challenges.  At Kelley Drye, our size and commitment to relationships mean you’ll be known for who you are—not just the work you do. You'll receive support from the firm and colleagues as you grow your professional credentials, expand your network, and develop your legal career. We look forward to learning how your unique skills and experiences can benefit our clients and enrich our community.  Our summer program offers substantive work aligned with your practice area interests and pairs you with mentors from day one to support your integration into the firm. It also includes professional development opportunities such as our Writing Mentor Program, Kelley Drye Trial Advocacy, and a Mock LBO exercise.  We offer early, meaningful responsibility in a collaborative culture that supports growth and invests in your success from day one.
King & Spalding	Not participating	Not participating	N/A	N/A	N/A		https://www.kslaw.com/pages/careers	Vault: https://vault.com/company-profiles/law/king-spalding-llp  Flo Forward: https://florecruit.com/v2/app/forward/firms/kslaw   Chambers: https://chambers.com/law-firm/king-spalding-llp-usa-5:3635	1,300	74	Atlanta: 16, Austin: 3, Charlotte: 3, Chicago: 2, DC: 12, Denver: 2, Houston: 7, Los Angeles: 6, New York: 21, San Francisco: 2	TBD	TBD	10	Hired into general areas of Litigation, Transactions, and Special Matters & Government Investigations	Varies by office location	No	Case-by-case basis	$4,326	Name: Recruiting Team, Email: kscampusrecruiting@kslaw.com	Celebrating over 130 years and American Lawyer’s Best Law Firm of the Year for 2023, King & Spalding is an international law firm that represents a broad array of clients, including half of the Fortune Global 100, with more than 1,300 lawyers in 24 offices globally. Our lawyers collaborate with clients to execute complex, high-value transactions, navigate rapidly changing regulatory landscapes, defend high stakes criminal cases and investigations, and handle billion-dollar commercial and trade disputes and multigovernmental enforcement actions. King & Spalding’s comprehensive professional development resources enable our lawyers to continually grow their careers while effectively meeting client and firm needs and expectations. We provide a wide range of formal and on-the-job training at the firm, practice group and office level, and we offer individualized resources that lawyers can use to direct their own development. Our values and client service principles guide our collaborative approach to delivering practical solutions while building relationships with both our clients and colleagues that are professionally and personally rewarding. When you work at King & Spalding, you’ll see these values and principles in action every day.
Kirkland & Ellis	Not participating	Not participating	N/A	N/A	N/A		https://kirkland.widen.net/s/9pq8jsnk8h/discover-kirkland   		4100	470	Austin: 17, Bay Area: 34, Boston: 16, Chicago: 101.5, Dallas: 21, DC: 44, Houston: 32, Los Angeles: 25, Miami: 19, New York: 144.5, Orange County: 2, Philadelphia: 3, Salt Lake City: 11	Austin, Boston, Chicago, Dallas, Houston, Los Angeles, Miami, New York, Palo Alto, Philadelphia, Salt Lake City, San Francisco, Washington, DC	Austin, Boston, Chicago, Dallas, Houston, Los Angeles, Miami, New York, Palo Alto, Philadelphia, Salt Lake City, San Francisco, Washington, DC	2Ls: 10 week program; 1Ls: Optional 4 week program	Our application goes live on November 1 for both 1L and 2L summers (2026 and 2027) in tandem. We will be recruiting for the summer of 2027, and with an acceptance to spend your 2L summer with us in 2027, you have the option to join us for 4 weeks during your 1L summer as well in 2026. There is no longer an option to only spend your 1L summer with us; it’s just an option to add on in conjunction with your 2L summer.    The Firm's unique open assignment system enables attorneys to take ownership of their careers, choosing the matters they work on while providing them with an integrated support network to help ensure robust development opportunities.	Directly into a practice group	No	No	$4,326	Name: Canali Miller, Email: canali.miller@kirkland.com  Name: Pete Bridge, Email: pete.bridge@kirkland.com	At Kirkland, we are united in our ambition and drive to move the Firm forward by recruiting the best legal talent. We invest in our people and build dynamic teams powered by passion and enthusiasm. Our work is interesting, cutting-edge and involves clients from businesses in all industries and sectors. Kirkland provides associates with responsibility and autonomy from the start of their careers. Integral to our culture is the belief that lawyers are most successful when they do the work they want to do. The Firm's unique open assignment system enables attorneys to take ownership of their careers, choosing the matters they work on while providing them with an integrated support network to help ensure robust development opportunities.   In addition to real experience early on, we’re committed to training our lawyers through innovative and comprehensive legal education and development. Our holistic approach, developed by partners, associates and industry experts, includes a Firmwide commitment to mentoring, career advice and on-the-job teaching.  We’re pleased to share two new episodes of our Connecting With Kirkland podcast series — designed to give 1L law students an inside look at our new recruiting process, our culture and what it’s like to start a career at Kirkland & Ellis. This season’s new episodes include: ●      “From Application to Offer — Insights From Recruiting Chairs” - Recruiting Chairs discuss our approach to recruiting, what we look for in candidates, and offer advice on what makes someone a successful associate. ●      “From Candidate to Colleague — Associates Share Their Journeys” - Associates share their experiences from the recruiting process through the Summer Associate Program and into practice.  Click here to register for the podcasts.
Knobbe Martens - Intellectual Property	Irvine, CA, Los Angeles, CA - Intellectual Property, New York, NY - Intellectual Property, San Diego, CA - Intellectual Property, San Francisco, CA - Intellectual Property, Seattle, WA - Intellectual Property, Washington, DC - Intellectual Property	1	1/7	1L - Summer 2026 2L - Summer 2027	N/A	Hiring for 1L Summer 2026 and 2L Summer 2027 for patent prosecution and patent litigation positions. Applicants must have a degree in engineering, science, or other technical field. We prefer students having a biology, chemistry, or biotechnology background to have a PhD. Students must have a minimum GPA of 3.0 in their undergraduate and graduate classes, including law school. Superior communication skills are also required.	https://www.knobbe.com/careers/law-student-recruiting/		250+	15	Bellevue: 3, DC: 1, Irvine: 6, Los Angeles: 1, San Diego: 4, San Francisco: 1	Bellevue, DC, Irvine, Los Angeles, San Diego, San Francisco	DC, Irvine, Los Angeles, New York, San Diego, San Francisco, Seattle	10	Free Market	Varies by office location	Varies by office location	Case-by-case basis	$4,130	Name: Stephani Nguyen, Email: stephani.nguyen@knobbe.com	Knobbe Martens provides the highest of professional, ethical representation. We foster a collegial, cooperative atmosphere where every employee works for the good of the firm. Our low attrition rate helps us maintain lasting relationship. Our unique culture and corporate structure allow us to attract and retain some of the world's top IP attorneys. We actively train our associates to assume leadership roles and provide an environment where their abilities are fully utilized in the best interest of our clients. Knobbe Martens Summer Associate contribute to one of the world's leading IP law firms. Summer Associates have the opportunity to take on a wide variety of assignments, attend client meetings, and participate in professional activities designed to give you real-world experience. All under the guidance of a Partner Mentor and Host Associate. A majority of our full-time associates are graduates of our Summer Associate Program.
Latham and Watkins	Not participating	Not participating	N/A	N/A	N/A		lwcareers.com	Vault: https://vault.com/company-profiles/law/latham-watkins-llp  Chambers Associate: https://www.chambers-associate.com/latham-watkins/true-picture/3689/1   Flo Forward: https://florecruit.com/v2/app/forward/firms/latham  Latham Interview Prep: https://lw.preparationplus.com/ 	3500+	377	Austin: 9, Boston: 18, Chicago: 36, DC: 90, Houston: 20, London: 5, Los Angeles: 24, New York: 119, Orange County: 11, San Diego: 15, San Francisco: 20, Silicon Valley: 10	Austin, Houston	Austin, Boston, Chicago, DC, Hong Kong, Houston, London, Los Angeles, New York, Orange County, San Diego, San Francisco, Silicon Valley, Singapore	10	Undecided/unassigned	Latham takes a flexible approach to associate staffing through our hallmark Unassigned Associate Program for US associates. The Unassigned Associate Program offers the unique opportunity to explore an array of practices before making a long-term commitment, empowering associates to find their perfect fit within the firm. We encourage associates to pursue their interests while balancing the firm’s strategic needs, which ensures that they gain valuable substantive experience by collaborating with leading experts across various fields.	Yes	Yes	$9,375/semi-monthly	Name: Associate Recruiting Team, Email: associaterecruiting.global@lw.com	Latham & Watkins is one of the world’s leading global law firms, advising the businesses and institutions that drive the economy. We are the market leaders in major financial and business centers globally. With top-tier teams and a track record of advising on landmark deals and high-profile trials, we help clients seize opportunities, navigate challenges, and stay ahead of market shifts.  Our integrated global platform offers unmatched expertise and resources to build an incredible career. Our investment in people, commitment to innovation, and focus on our clients and the future underpin our success — and ensure we remain at the forefront of practice. We empower our lawyers to pursue their vision, become market leaders, and engage in community-serving pro bono work.  Our commitment to excellence means you’ll work on clients’ most complex and challenging matters. We invest in your future through comprehensive training and career development including mentoring, coaching, and our signature academies to help you grow from an intellectually curious self-starter into an exceptional lawyer. If you aspire to be the best, this is where you belong.
Linklaters	New York, NY; Washington, DC, London, Frankfurt	1	1/9	2L - Summer 2027	N/A	2027 2L US Summer Associate Position  The firm’s 10-week summer associate program is primarily based out of our New York office but also offers the opportunity for summer associates to apply to spend a portion of the summer in Washington, D.C., London or Frankfurt. Please list additional locations of interest in the "preferred locations" box when bidding. Offer decisions will be made on a rolling basis after we receive your first semester law school transcript.  What we look for: We want to get to know you as an individual and really understand what you can bring to our firm. Throughout our recruitment process we’ll be looking at your level of commercial awareness, as well as your communication skills, drive, and motivation. Of course, we’ll also be deeply interested in your intellect, your ability to work well with others, and your attention to detail.  Who is eligible: The U.S. Summer Associate Program is open to U.S. law students pursuing a J.D. degree.	https://www.linklaters.com/	Flo Forward: https://florecruit.com/v2/app/forward/firms/linklaters   Vault: https://vault.com/company-profiles/law/linklaters-llp-us 	2900	12	DC: 2, London: 3, New York: 7	New York	DC, Frankfurt, London, New York	10	Free Market with a centralized work allocation system through the Recruitment team	Varies by office location	Varies by office location	Case-by-case basis	$4,327	Name: Lea Sahgal, Email: lea.sahgal@linklaters.com	Linklaters is one of the world’s leading law firms. We are a high-performing team of exceptional, talented and highly motivated individuals who handle the biggest and most transformational mandates for the world’s leading corporations, banks and financial sponsors.  We are bold and ambitious. Our goal is always to deliver the best results for our clients and each other. We focus relentlessly on innovation, efficiency and agility to meet our clients’ commercial needs and deliver beyond their expectations.   Supported by over 3,100 lawyers spanning 30 offices in 20 countries, Linklaters’ integrated approach ensures clients receive seamless, first-rate advisory across interconnected jurisdictions. With nearly 200 years of experience guiding clients through major historical, economic and commercial developments, the firm combines global reach with a heritage of long-lasting relationships and groundbreaking work.
Lowenstein Sandler LLP	Not participating	Not participating	N/A	N/A	N/A		https://www.lowenstein.com/careers/careers-law-students/		370+	19	Centerville: 1, DC: 2, New York: 4, Palo Alto: 4, Roseland: 8	Palo Alto, Roseland	Centerville Utah, DC, New York, Palo Alto, Roseland	10	Open	Directly into a practice group	No	No	$4,327 (NJ/NY/CA/DC) and $3,462 (UT)	Name: Melissa Leidl, Email: MLeidl@lowenstein.com Name: Patricia Cambouris, Email: PCambouris@lowenstein.com	LOWENSTEIN SANDLER is a nationally recognized corporate law firm with offices in New York (NY), Palo Alto (CA), Roseland (NJ), WaDC (DC) and Centerville (UT), with 370+ attorneys providing a full range of legal services. The firm’s commitment to its clients is demonstrated through its client-centered, service-oriented culture. The firm represents a diverse client base throughout the country in a broad range of practice areas including bankruptcy, corporate, employment & labor, employee benefits & executive compensation, immigration, intellectual property, litigation, real estate, technology and trusts & estates. Lowenstein Sandler attorneys are regularly recognized for excellence by clients and peers in national publications, including Best Lawyers in America, Chambers USA: America’s Leading Lawyers for Business and The Legal 500.
Massumi + Consoli LLP	Los Angeles, CA, New York, NY	1	1/9	1L - Summer 2026 2L - Summer 2027	N/A	Hiring for 1L Summer 2026 and 2L Summer 2027.  Massumi + Consoli LLP is currently accepting applications for current 1L students interested in transactional work for our ten week 2026/2027 Summer Associate Program in either our NY or LA office.															
Mayer Brown LLP	Chicago, IL, New York, NY	Chicago - 0.5 NY - 1	1/7	2L - Summer 2027	N/A	Mayer Brown has been recognized by Vault and Chambers as one of the top law firms in the nation—ranked #8 for Best Law Firms to Work For and #10 for Best Summer Associate Program. These recognitions reflect our commitment to creating a supportive, engaging, and growth-oriented environment for our summer associates. We are looking for aspiring future lawyers for our Summer Program who share our commitment to our client principles and in delivering excellence in client service. Law student applicants should be current 1L law students and/or expecting to graduate in May 2028. Our Summer Program is a fantastic way to find out what a career in law looks like in a collegial and collaborative environment. You will have plenty of opportunities during the program to work alongside our lawyers on interesting client work. You’ll work on a variety of work assignments based on your practice interests and are encouraged to seek work assignments informally by meeting with partners and associates from practice areas that you want to learn more about. In addition, we will provide you with meaningful performance feedback, connect you to a network of lawyers, and invest in your professional growth through various training and development programs. You will be assigned mentors: typically, one partner and one associate, who will provide one-on-one guidance and mentoring to you. They will ensure that you get the chance to work with a variety of lawyers and make sure your time here represents a realistic perspective of the work performed by new associates.   New York is hiring for the following Practice Areas: Corporate & Securities, Finance & Banking, Intellectual Property, Litigation, Restructuring  Chicago Practice Areas: Corporate & Securities, Employment & Benefits, Finance, Intellectual Property, Litigation, Real Estate, Restructuring 	https://mayerbrownfutures.com/	Flo Forward: https://florecruit.com/v2/app/forward/firms/mayerbrown  Vault: https://vault.com/company-profiles/law/mayer-brown  LinkedIn: https://www.linkedin.com/company/mayer-brown/posts/?feedView=all 	1,500-2,000	64	Charlotte: 7, Chicago: 22, DC: 6, Houston: 3, Los Angeles: 2, New York: 23, Northern California: 1	Charlotte, Chicago, Houston, Los Angeles, New York, Northern California	Charlotte, Chicago, DC, Houston, Los Angeles, New York, Northern California, Salt Lake City	10	Free Market	Varies by office location	Varies by office location	Yes	$4,327	Name: Angela Eliane, Email: aeliane@mayerbrown.com Name: Chelsy Bernard, Email: cbernard2@mayerbrown.com	It's the people.   The world’s most sophisticated major corporations, funds, and financial institutions rely on Mayer Brown to represent them in their most important and complex transactions and disputes.  OUR CLIENT SERVICE PRINCIPLES  Delivering the best legal advice and service Leveraging our deep commercial instincts to serve as our clients’ strategic partners and trusted advisors Building diverse teams of lawyers from our market-leading practices to help achieve our clients’ goals Solving our clients’ most complex problems with creative and innovative ideas Collaborating across offices to deliver the best of our knowledge, wherever in the world it’s needed Using technology to develop new ways to deliver timely and efficient service
McDermott Will & Schulte	Boston, MA, Chicago, IL, Dallas, TX, Houston, TX, Los Angeles, CA, Miami, FL, New York, NY, San Francisco, CA, Washington, DC	1	1/9	2L - Summer 2027	N/A	McDermott Will & Schulte is seeking 2L summer associates to join us for our 10-week 2027 Summer Associate Program. Our program offers summer associates a realistic introduction to the practice of law and day-to-day life as a McDermott associate. The summer associate program provides meaningful responsibility and feedback that is consistent with a junior associate experience.	https://careers.mwe.com/law-students/	Flo Forward: https://florecruit.com/v2/app/forward/firms/mwe  Vault: https://vault.com/company-profiles/law/mcdermott-will-schulte 	1750+	71	Boston: 3, Chicago 15, Dallas 3, DC: 7, Los Angeles 6, Miami 4, New York 30, San Francisco 3	Chicago, Dallas, DC, Los Angeles, Miami, New York	TBD	10	As part of the application and interview process, applicants are asked to indicate their primary practice area(s) of interest. Throughout the summer program, associates will primarily receive assignments from their designated practice area but will also have the opportunity to explore assignments from other groups. With the exception of our Intellectual Property group, McDermott does not hire summer associates into specific practice areas. However, our first-year associates are placed into practice areas. Therefore, we seek to align summer associates’ general practice interests with local office practice representation.	Directly into a practice group	No	Case-by-case basis	$4,326	Name: Heidi Bradish, Email: hbradish@mwe.com Name: Abby Valovage, Email: avalovage@mwe.com Name: Christina Rosario , Email: christina.rosario@srz.com	Always Better isn’t just our goal – it’s your advantage. It shapes everything we do and ensures that the people who join us have opportunities to grow, thrive, and succeed in ways that go beyond what’s expected at a law firm.  It’s reflected in the bold way we champion your career: through meaningful, impactful work, top-tier compensation, and professional development designed to help you reach your full potential. It’s the way we celebrate authenticity, ensuring you can bring your full self to the table and know that your individuality is valued.  Being Always Better also means driving innovation in the industry—raising the bar not just for ourselves, but for the clients who trust us with their most important matters. And it extends to how we treat each other: with care, support, and a commitment to helping our colleagues live fulfilling lives inside and outside of work.  Here, culture isn’t a catchword – it’s our commitment to you.
McGuireWoods	Not participating	Not participating	N/A	N/A	N/A		https://careers.mcguirewoods.com/law-students/	Flo Forward: https://florecruit.com/v2/app/forward/firms/mcguirewoods 	1,100	34	Atlanta: 2, Baltimore: 1, Charlotte, Chicago: 4, Dallas, DC: 2, Jacksonville: 1, Los Angeles:3, NC: 6, New York: 2, Pittsburgh: 2, Raleigh: 2, Richmond: 5, San Francisco:2, TX: 2	N/A	Atlanta, Charlotte, Chicago, Dallas, DC, Los Angeles, New York, Pittsburgh, Richmond, San Francisco	10	Summer associates utilize a project database to review and select available assignments based on the practices they are interested in.	General department return offers are extended, and practice areas are later matched based on hiring needs and associate interests	Varies by office location	No	$4,325	Name: Amanda Azzarelli, Email: aazzarelli@mcguirewoods.com Name: Rachel Slick, Email: rslick@mcguirewoods.com	A thriving, full-service firm, McGuireWoods has 1,100 lawyers in 21 offices worldwide. Over our 190-year history, we have earned our clients' loyalty with deep and broad legal experience, a passion for understanding their businesses and markets, innovative delivery of business-minded solutions and award-winning client service.  Our summer associate program is intentionally designed to provide a comprehensive introduction to the firm and life as a first-year associate. Our summer associates participate in social events and informal networking opportunities, allowing them to meet our attorneys and other summer associates. Each summer associate is assigned a supervisor and mentor to help integrate them into the office culture and the city where they work. Rather than rotating formally through firm departments, our summer associates are encouraged to explore and work on projects in all areas of practice. These projects provide opportunities to collaborate with and learn from McGuireWoods attorneys on real McGuireWoods matters. Assigning attorneys evaluate every completed project, and summer associates receive regular feedback throughout the program. The program balances work, training and social activities to not only provide a realistic snapshot of associate life at McGuireWoods but also create a foundation of skills for our future associates.
Milbank LLP	Not participating	Not participating	N/A	N/A	N/A		https://www.milbank.com/en/careers/law-students/index.html	Vault: https://vault.com/company-profiles/law/milbank-llp  Flo Forward: https://florecruit.com/v2/app/forward/firms/milbank 	700-1,000	101	DC: 10, London: 1, Los Angeles: 10, New York: 80	TBD	DC, London, Los Angeles, New York	10	In the NY office, summer associates have the opportunity to rotate through three different practice areas of interest. In the LA and DC offices, summer associates do not formally rotate through groups but instead receive assignments from practice areas based on both interest and group need.	Varies by office location	No	Case-by-case basis	$4,327	Name: Milbank Recruiting, Email: milbankrecruiting@milbank.com	Milbank is a leading international law firm that provides innovative legal services to clients around the world. With a focus on professional development, mentorship, an inclusive and collegial culture, and a longstanding commitment to pro bono, we pride ourselves on the work we do and the values we promote.
Mintz	Not participating	Not participating	N/A	N/A	N/A		https://www.mintz.com/careers	Vault: https://vault.com/company-profiles/law/mintz-levin-cohn-ferris-glovsky-and-popeo-pc/summer-associate-program   Vault: https://vault.com/company-profiles/law/mintz-levin-cohn-ferris-glovsky-and-popeo-pc 	600+	21	Boston: 11, Los Angeles: 1, New York: 7, Toronto: 2	N/A	Boston, Los Angeles, New York	9	hired into practice groups (Corporate, Litigation IP Litigation)	Directly into a practice group	No	Case-by-case basis	$4,326.92	Name: Rachel Maltz, Email: rbmaltz@mintz.com	Mintz is a full-service law firm serving clients in the life sciences, energy, private equity, and technology industries. The world’s most innovative companies trust Mintz to accelerate their business, protect and monetize their IP, negotiate deals, source financing, and solve complex legal challenges. Mintz Summer Associates work on an array of matters, often staffed on cases or deal teams, where they can gain real, hands-on experience working side by side with our lawyers. Our small class size, coupled with our Member and Associate mentorship program, allows students a broad range of opportunities and experience, customized to their individual goals and interests. After spending nine weeks at the firm, our Summer Associates know our lawyers, understand what we do, and are ready to hit the ground running after law school. Our Summer Associates select a practice area of interest (Corporate, Litigation, or Intellectual Property) and are immersed in that practice area for the duration of the program.
Morgan, Lewis & Bockius LLP	Not participating	Not participating	N/A	N/A	N/A		https://www.morganlewis.com/careers	Vault: https://vault.com/company-profiles/law/morgan-lewis-bockius-llp   Flo Forward: https://florecruit.com/v2/app/forward/firms/morganlewis 	2,200+	108	Boston: 14, Chicago: 12, DC: 17, Houston: 5, Los Angeles: 7, Miami: 3, New York: 17, Orange County: 4, Philadelphia: 14, San Francisco: 8, Seattle: 3, Silicon Valley: 3	TBD	TBD	10	Free Market	Directly into a practice group	No	Case-by-case basis	$4,326		Morgan Lewis' 10-week summer associate program will take place across 12 US offices and offers a substantive training curriculum, hands-on pro bono opportunities, sophisticated client work, and engaging social activities. In 2025, we welcomed 132 summer associates into a variety of practice groups, including Corporate & Business Transactions, Litigation, Labor & Employment, Intellectual Property, Investment Management, and more.  Summer associates benefit from direct access to assignment coordinators, dedicated associate and partner mentors, and targeted professional development resources throughout the program.  Morgan Lewis is proud to be consistently recognized as one of the nation’s best law firms to work for. Vault ranks the firm #1 in formal and informal training, associate/partner relations, pro bono, and quality of work, and #2 overall among the best firms to work for. AmLaw ranked our summer program #3 nationally, with many of our offices earning the #1 program ranking in their respective cities and also recognizes Morgan Lewis among the top 5 A-List firms.
